time,encoder
2019-08-25 00:00, 3.2715
2019-08-25 00:01, 3.2785
2019-08-25 00:02, 3.2855
2019-08-25 00:03, 3.2925
2019-08-25 00:04, 3.2995
2019-08-25 00:05, 3.3064999999999998
2019-08-25 00:06, 3.3129999999999997
2019-08-25 00:07, 3.3200000000000003
2019-08-25 00:08, 3.3275
2019-08-25 00:09, 3.3345000000000002
2019-08-25 00:10, 3.3425000000000002
2019-08-25 00:11, 3.3505000000000003
2019-08-25 00:12, 3.3575
2019-08-25 00:13, 3.3645
2019-08-25 00:14, 3.3725
2019-08-25 00:15, 3.3805
2019-08-25 00:16, 3.3885
2019-08-25 00:17, 3.3965
2019-08-25 00:18, 3.4055
2019-08-25 00:19, 3.4135
2019-08-25 00:20, 3.4215
2019-08-25 00:21, 3.4295
2019-08-25 00:22, 3.4375
2019-08-25 00:23, 3.4445
2019-08-25 00:24, 3.452
2019-08-25 00:25, 3.4595000000000002
2019-08-25 00:26, 3.4665
2019-08-25 00:27, 3.474
2019-08-25 00:28, 3.4815
2019-08-25 00:29, 3.4885
2019-08-25 00:30, 3.4955
2019-08-25 00:31, 3.5015
2019-08-25 00:32, 3.5075
2019-08-25 00:33, 3.512
2019-08-25 00:34, 3.5164999999999997
2019-08-25 00:35, 3.5215
2019-08-25 00:36, 3.5275
2019-08-25 00:37, 3.5335
2019-08-25 00:38, 3.5395
2019-08-25 00:39, 3.5455
2019-08-25 00:40, 3.5505
2019-08-25 00:41, 3.5555
2019-08-25 00:42, 3.5605
2019-08-25 00:43, 3.5655
2019-08-25 00:44, 3.5700000000000003
2019-08-25 00:45, 3.5745
2019-08-25 00:46, 3.5795
2019-08-25 00:47, 3.5845000000000002
2019-08-25 00:48, 3.5895
2019-08-25 00:49, 3.5945
2019-08-25 00:50, 3.5995
2019-08-25 00:51, 3.604
2019-08-25 00:52, 3.6085000000000003
2019-08-25 00:53, 3.6125
2019-08-25 00:54, 3.6165000000000003
2019-08-25 00:55, 3.6205
2019-08-25 00:56, 3.6254999999999997
2019-08-25 00:57, 3.6315
2019-08-25 00:58, 3.6365
2019-08-25 00:59, 3.6414999999999997
2019-08-25 01:00, 3.6475
2019-08-25 01:01, 3.6535
2019-08-25 01:02, 3.6595
2019-08-25 01:03, 3.6654999999999998
2019-08-25 01:04, 3.6715
2019-08-25 01:05, 3.6795
2019-08-25 01:06, 3.6855
2019-08-25 01:07, 3.6925
2019-08-25 01:08, 3.6995
2019-08-25 01:09, 3.7065
2019-08-25 01:10, 3.713
2019-08-25 01:11, 3.7195
2019-08-25 01:12, 3.7265
2019-08-25 01:13, 3.733
2019-08-25 01:14, 3.74
2019-08-25 01:15, 3.747
2019-08-25 01:16, 3.753
2019-08-25 01:17, 3.759
2019-08-25 01:18, 3.7649999999999997
2019-08-25 01:19, 3.771
2019-08-25 01:20, 3.7765
2019-08-25 01:21, 3.782
2019-08-25 01:22, 3.7880000000000003
2019-08-25 01:23, 3.794
2019-08-25 01:24, 3.8
2019-08-25 01:25, 3.806
2019-08-25 01:26, 3.8120000000000003
2019-08-25 01:27, 3.818
2019-08-25 01:28, 3.823
2019-08-25 01:29, 3.8285
2019-08-25 01:30, 3.8335
2019-08-25 01:31, 3.838
2019-08-25 01:32, 3.843
2019-08-25 01:33, 3.847
2019-08-25 01:34, 3.851
2019-08-25 01:35, 3.8555
2019-08-25 01:36, 3.859
2019-08-25 01:37, 3.862
2019-08-25 01:38, 3.866
2019-08-25 01:39, 3.8689999999999998
2019-08-25 01:40, 3.872
2019-08-25 01:41, 3.875
2019-08-25 01:42, 3.878
2019-08-25 01:43, 3.8819999999999997
2019-08-25 01:44, 3.884
2019-08-25 01:45, 3.887
2019-08-25 01:46, 3.8890000000000002
2019-08-25 01:47, 3.892
2019-08-25 01:48, 3.895
2019-08-25 01:49, 3.8970000000000002
2019-08-25 01:50, 3.9
2019-08-25 01:51, 3.902
2019-08-25 01:52, 3.9050000000000002
2019-08-25 01:53, 3.908
2019-08-25 01:54, 3.912
2019-08-25 01:55, 3.915
2019-08-25 01:56, 3.917
2019-08-25 01:57, 3.9195
2019-08-25 01:58, 3.9225000000000003
2019-08-25 01:59, 3.925
2019-08-25 02:00, 3.928
2019-08-25 02:01, 3.932
2019-08-25 02:02, 3.9355
2019-08-25 02:03, 3.939
2019-08-25 02:04, 3.943
2019-08-25 02:05, 3.9459999999999997
2019-08-25 02:06, 3.95
2019-08-25 02:07, 3.9539999999999997
2019-08-25 02:08, 3.959
2019-08-25 02:09, 3.9619999999999997
2019-08-25 02:10, 3.965
2019-08-25 02:11, 3.9690000000000003
2019-08-25 02:12, 3.972
2019-08-25 02:13, 3.976
2019-08-25 02:14, 3.98
2019-08-25 02:15, 3.984
2019-08-25 02:16, 3.988
2019-08-25 02:17, 3.992
