X,Y
-129.879425,53.392769
-129.729156,53.215271
-129.730286,53.204163
-129.732208,53.198044
-129.742493,53.178329
-129.750854,53.166939
-129.755859,53.162209
-129.762238,53.158882
-129.864166,53.153046
-129.912231,53.15638
-129.931671,53.158043
-129.936951,53.161934
-130.088043,53.289436
-130.111115,53.328049
-130.165009,53.35833
-130.203339,53.378876
-130.242493,53.384163
-130.261414,53.38472
-130.286957,53.381378
-130.296387,53.38166
-130.305847,53.384163
-130.316406,53.391937
-130.401947,53.479988
-130.527222,53.552216
-130.529999,53.567772
-130.529449,53.573326
-130.522247,53.618599
-130.520294,53.62471
-130.508362,53.631935
-130.459991,53.637497
-130.450287,53.634995
-130.395844,53.619438
-130.391113,53.616936
-130.375549,53.612213
-130.275299,53.580276
-130.202209,53.553879
-130.140839,53.528877
-129.977203,53.455551
-129.944153,53.438599
-129.93222,53.431381
-129.920563,53.424164
-129.884186,53.397217
-129.879425,53.392769
