X,Y
-129.826111,53.724159
-129.597229,53.55027
-129.516113,53.488045
-129.424713,53.411377
-129.434723,53.401657
-129.45166,53.379158
-129.454987,53.37249
-129.474152,53.289162
-129.473877,53.23999
-129.506683,53.21666
-129.563904,53.207497
-129.72583,53.340546
-129.800568,53.380547
-129.80722,53.384163
-129.822235,53.401382
-129.858337,53.456383
-129.877197,53.504997
-129.87027,53.518051
-129.869995,53.534721
-129.87027,53.545547
-129.883911,53.57972
-129.916077,53.601715
-129.919235,53.60405
-129.924896,53.605545
-129.930222,53.605213
-129.939728,53.60355
-129.943054,53.601215
-129.94606,53.598217
-129.945557,53.595215
-129.961395,53.594711
-129.965546,53.589157
-129.99942,53.574715
-130.007507,53.573326
-130.016113,53.572769
-130.026947,53.574715
-130.040283,53.581383
-130.051666,53.594437
-130.056396,53.603882
-130.055847,53.609436
-130.051666,53.615273
-130.030853,53.622765
-129.98288,53.641605
-129.978058,53.642437
-129.962402,53.643436
-129.956223,53.642769
-129.949554,53.641434
-129.935059,53.636272
-129.929382,53.634766
-129.926895,53.636772
-129.928207,53.639603
-129.934402,53.644268
-129.94957,53.646805
-129.959961,53.649502
-129.96727,53.650299
-129.986938,53.6586
-130.01889,53.653046
-130.091949,53.677216
-130.156952,53.721375
-130.283905,53.832771
-130.286407,53.837494
-130.279175,53.856384
-130.270294,53.875549
-130.266418,53.881378
-130.25473,53.88916
-130.20166,53.912491
-130.194458,53.914711
-130.186401,53.9161
-130.109161,53.885551
-129.964447,53.805824
-129.83139,53.728043
-129.826111,53.724159
