X,Y
-130.259186,54.004715
-130.237213,53.984161
-130.233307,53.979988
-130.230835,53.975266
-130.228882,53.964714
-130.22998,53.953606
-130.233307,53.946938
-130.242493,53.936378
-130.338593,53.839157
-130.344452,53.835266
-130.352203,53.833878
-130.378601,53.83194
-130.387238,53.831383
-130.450165,53.864326
-130.45433,53.866325
-130.458496,53.88216
-130.412781,53.958603
-130.407776,53.963326
-130.400848,53.965828
-130.381653,53.965271
-130.350555,53.961662
-130.341095,53.96138
-130.333069,53.962769
-130.327484,53.966934
-130.343597,53.984993
-130.35498,53.993324
-130.429443,53.983047
-130.4375,53.981659
-130.443878,53.9786
-130.452789,53.968048
-130.475174,53.944214
-130.47551,53.940712
-130.479172,53.92638
-130.482666,53.915379
-130.485168,53.912048
-130.489502,53.910549
-130.494659,53.910217
-130.500854,53.910881
-130.524338,53.914711
-130.547241,53.903877
-130.55249,53.907768
-130.556396,53.911934
-130.565277,53.925827
-130.577484,53.93721
-130.591949,53.949158
-130.597229,53.953049
-130.602783,53.956657
-130.610809,53.959717
-130.621918,53.961662
-130.658051,53.964439
-130.666962,53.963882
-130.672516,53.959991
-130.676666,53.954163
-130.695282,53.919441
-130.698059,53.914154
-130.695557,53.909431
-130.684998,53.901932
-130.663055,53.89222
-130.646667,53.886658
-130.633331,53.87999
-130.627777,53.876099
-130.622498,53.872215
-130.617767,53.86277
-130.618042,53.857216
-130.621368,53.850548
-130.625549,53.844711
-130.630554,53.839989
-130.642517,53.832771
-130.651398,53.834435
-130.695831,53.844437
-130.70639,53.851936
-130.710266,53.856384
-130.712769,53.861107
-130.723053,53.917213
-130.722778,53.922768
-130.720276,53.934715
-130.717773,53.939987
-130.667236,53.986938
-130.661682,53.990829
-130.595276,54.026382
-130.523346,54.05999
-130.411133,54.10083
-130.402496,54.101387
-130.370819,54.087212
-130.336121,54.067497
-130.304993,54.045273
-130.259186,54.004715
