X,Y
-130.95166,54.454712
-130.959442,54.453323
-130.964996,54.45694
-130.967499,54.461662
-130.966095,54.510826
-130.964722,54.527771
-130.961121,54.539993
-130.930573,54.614716
-130.925568,54.619438
-130.888916,54.628876
-130.881378,54.629158
-130.754456,54.629433
-130.747772,54.626099
-130.746643,54.620827
-130.746948,54.615273
-130.744141,54.601662
-130.745544,54.584717
-130.749146,54.572769
-130.752502,54.566101
-130.756134,54.559433
-130.760834,54.55471
-130.766663,54.550545
-130.849152,54.496941
-130.855835,54.493881
-130.936951,54.459435
-130.95166,54.454712
