X,Y
-124.129707,49.650826
-124.139183,49.650543
-124.15361,49.655548
-124.186943,49.668884
-124.196663,49.676941
-124.20195,49.701935
-124.199432,49.7061
-124.147507,49.746658
-124.142776,49.75
-124.137222,49.75222
-124.091667,49.767769
-124.036118,49.777214
-124.029449,49.778328
-124.021118,49.777771
-124.016113,49.775551
-124.018623,49.77166
-124.025558,49.767769
-124.046112,49.756386
-124.060547,49.744995
-124.074722,49.73333
-124.090843,49.715546
-124.101097,49.700272
-124.10556,49.68943
-124.107224,49.677216
-124.110817,49.664993
-124.113617,49.659714
-124.123047,49.651932
-124.129707,49.650826
