X,Y
-130.385284,54.769989
-130.39917,54.764717
-130.40918,54.767212
-130.414459,54.770828
-130.455566,54.813324
-130.459442,54.817497
-130.461945,54.82222
-130.459991,54.828331
-130.418335,54.853325
-130.385284,54.868881
-130.343048,54.894997
-130.270294,54.950272
-130.25,54.969711
-130.227783,54.997215
-130.213318,55.012497
-130.200836,55.019714
-130.184998,55.023323
-130.175293,55.023048
-130.168335,55.019714
-130.165009,55.01416
-130.160278,55.00444
-130.146973,54.975822
-130.145294,54.965271
-130.145569,54.959717
-130.146118,54.954163
-130.14975,54.947487
-130.16333,54.931381
-130.270294,54.830826
-130.385284,54.769989
