X,Y
-126.676102,49.583603
-126.681381,49.583054
-126.688889,49.583878
-126.69722,49.585548
-126.789719,49.612213
-126.808037,49.619713
-126.814163,49.622765
-126.905563,49.685547
-126.965286,49.726936
-126.969452,49.731102
-126.974167,49.740273
-126.975563,49.75
-126.940552,49.831383
-126.890556,49.847771
-126.799156,49.876099
-126.777496,49.879715
-126.768723,49.878616
-126.749443,49.856941
-126.734161,49.848045
-126.678047,49.825272
-126.64473,49.774162
-126.636124,49.759438
-126.634453,49.753883
-126.613327,49.648331
-126.616096,49.624435
-126.620537,49.606102
-126.624161,49.601387
-126.633057,49.5961
-126.66861,49.585548
-126.676102,49.583603
