X,Y
-123.474442,48.70916
-123.482773,48.708328
-123.48999,48.709435
-123.513062,48.716385
-123.524719,48.722488
-123.549438,48.746658
-123.551941,48.75222
-123.592773,48.898331
-123.595551,48.909714
-123.596123,48.928329
-123.596657,48.946938
-123.593613,48.947212
-123.580566,48.935547
-123.577217,48.929161
-123.536118,48.914993
-123.530289,48.911934
-123.457497,48.863052
-123.433884,48.844437
-123.37027,48.768326
-123.368881,48.762772
-123.371658,48.7575
-123.376389,48.753609
-123.431953,48.7211
-123.474442,48.70916
