X,Y
-124.730827,50.302216
-124.726936,50.299164
-124.724716,50.299164
-124.695541,50.289436
-124.683319,50.283333
-124.672501,50.2761
-124.66861,50.272491
-124.661118,50.263054
-124.659439,50.258331
-124.657501,50.247772
-124.656113,50.231377
-124.65834,50.212212
-124.660004,50.207497
-124.662514,50.203323
-124.695831,50.157494
-124.70195,50.1586
-124.708054,50.161377
-124.792221,50.225266
-124.794998,50.228874
-124.780838,50.26944
-124.777786,50.277489
-124.745003,50.299438
-124.740547,50.301933
-124.730827,50.302216
