X,Y
-123.322777,48.861107
-123.370537,48.856384
-123.378883,48.856941
-123.384743,48.859993
-123.540558,48.944992
-123.662514,49.035271
-123.703888,49.095268
-123.705276,49.100273
-123.702499,49.105553
-123.695831,49.108047
-123.686394,49.106659
-123.680557,49.103607
-123.674713,49.093048
-123.659439,49.073608
-123.604446,49.014717
-123.586403,49.000549
-123.521667,48.960274
-123.499161,48.947212
-123.487503,48.941101
-123.459732,48.93055
-123.436394,48.924438
-123.420273,48.920547
-123.381943,48.91082
-123.328339,48.895828
-123.32251,48.892769
-123.31778,48.888885
-123.312767,48.872765
-123.3125,48.86805
-123.316391,48.863327
-123.322777,48.861107
