X,Y
-126.4664,50.575829
-126.475014,50.575554
-126.479172,50.576385
-126.535553,50.590546
-126.549156,50.596382
-126.552223,50.598602
-126.554169,50.602776
-126.55249,50.607498
-126.550278,50.608604
-126.54361,50.611382
-126.529167,50.614998
-126.453613,50.626938
-126.404999,50.626099
-126.385559,50.625549
-126.377213,50.623878
-126.364441,50.619438
-126.361389,50.615829
-126.361656,50.613052
-126.36972,50.605827
-126.38028,50.598602
-126.384743,50.5961
-126.391388,50.592766
-126.398064,50.591103
-126.4664,50.575829
