X,Y
-126.273064,50.652771
-126.463333,50.641663
-126.568069,50.648331
-126.584167,50.650269
-126.598892,50.65416
-126.606377,50.657211
-126.612503,50.659988
-126.617493,50.664993
-126.617493,50.66777
-126.545837,50.726097
-126.43721,50.783882
-126.389717,50.806381
-126.382217,50.808044
-126.280563,50.828331
-126.266403,50.827774
-126.258057,50.824715
-126.253891,50.821938
-126.251717,50.818932
-126.238327,50.811104
-126.229446,50.803322
-126.178329,50.750832
-126.177223,50.748604
-126.176666,50.743881
-126.253052,50.699646
-126.256119,50.661377
-126.260834,50.657211
-126.266403,50.654709
-126.273064,50.652771
