X,Y
-127.226936,50.636108
-126.975281,50.576942
-126.854721,50.554436
-126.776398,50.546104
-126.768066,50.544441
-126.72139,50.531937
-126.705276,50.527489
-126.639999,50.507774
-126.623322,50.498329
-126.563889,50.483604
-126.493881,50.481934
-126.39473,50.481659
-126.386948,50.482765
-126.355827,50.48333
-126.327789,50.48082
-126.221123,50.468597
-126.205002,50.46666
-126.154716,50.459435
-126.069168,50.438599
-126.046112,50.432495
-126.031387,50.427773
-126.01889,50.421936
-125.976097,50.394997
-125.962509,50.388885
-125.947769,50.384995
-125.928596,50.38221
-125.816963,50.378044
-125.580002,50.365829
-125.564163,50.363884
-125.548607,50.359161
-125.463058,50.32972
-125.449722,50.323608
-125.440552,50.318329
-125.435547,50.314713
-125.431671,50.310547
-125.428879,50.30555
-125.427223,50.299995
-125.426666,50.293884
-125.427223,50.287498
-125.415009,50.261665
-125.393623,50.215546
-125.377777,50.179718
-125.362778,50.138046
-125.330841,50.113884
-125.286942,50.081383
-125.229446,50.026657
-125.221657,50.018051
-125.21611,50.001389
-125.214172,49.976379
-125.212784,49.970825
-125.20723,49.961662
-125.16861,49.912766
-125.112213,49.868324
-124.993057,49.78833
-124.898064,49.731659
-124.891388,49.664711
-124.916397,49.63166
-124.860283,49.541664
-124.853058,49.532494
-124.833069,49.510826
-124.789436,49.464157
-124.579453,49.387497
-124.551102,49.378044
-124.535553,49.373878
-124.519173,49.37027
-124.260834,49.315269
-124.121933,49.270271
-123.943047,49.211105
-123.856377,49.149162
-123.860283,49.153046
-123.866386,49.16082
-123.868057,49.164436
-123.871109,49.173607
-123.871384,49.181107
-123.866386,49.186378
-123.861656,49.188881
-123.849991,49.191658
-123.824448,49.192764
-123.820557,49.190544
-123.80722,49.180275
-123.794449,49.173325
-123.788597,49.170273
-123.769447,49.163048
-123.738052,49.154434
-123.711121,49.149994
-123.704178,49.147491
-123.699432,49.143883
-123.696663,49.140274
-123.696381,49.135551
-123.699158,49.130272
-123.703888,49.126381
-123.731377,49.117493
-123.741669,49.11805
-123.837509,49.14138
-123.850563,49.145546
-123.810272,49.115829
-123.751953,49.040833
-123.749443,49.035271
-123.75029,49.02916
-123.756958,48.986938
-123.758621,48.98082
-123.763344,48.976936
-123.69194,48.908325
-123.68222,48.902214
-123.59111,48.839989
-123.582779,48.83194
-123.565552,48.789719
-123.563049,48.778328
-123.564713,48.749718
-123.509453,48.587494
-123.476669,48.63166
-123.47084,48.673325
-123.469162,48.679436
-123.464447,48.683327
-123.459732,48.685822
-123.451401,48.686653
-123.44194,48.686653
-123.416397,48.684433
-123.401108,48.681381
-123.396393,48.677773
-123.349731,48.547775
-123.348343,48.535828
-123.295273,48.484718
-123.291672,48.48082
-123.27861,48.4561
-123.276108,48.451103
-123.276947,48.445541
-123.286942,48.418602
-123.289719,48.413322
-123.294449,48.409714
-123.300827,48.406654
-123.320557,48.399437
-123.336403,48.396942
-123.360283,48.397217
-123.416656,48.423882
-123.421387,48.42749
-123.425003,48.431938
-123.459732,48.411934
-123.513344,48.37471
-123.536942,48.338326
-123.542503,48.312492
-123.546112,48.30777
-123.551666,48.30471
-123.559158,48.303047
-123.583328,48.301102
-123.598343,48.311661
-123.714447,48.348045
-123.762512,48.361664
-123.771667,48.361664
-123.779999,48.36055
-123.794998,48.357498
-123.808884,48.353325
-123.817497,48.352493
-123.823624,48.352776
-123.916107,48.364159
-123.924156,48.366104
-123.976097,48.381935
-124.263634,48.46888
-124.423607,48.516937
-124.609444,48.560547
-124.688599,48.578331
-124.72084,48.586655
-124.759171,48.605553
-124.771118,48.611664
-124.794998,48.62999
-124.81778,48.64888
-124.822777,48.652489
-124.922501,48.679993
-125.028877,48.708885
-125.0625,48.714996
-125.095001,48.721931
-125.102219,48.724434
-125.113892,48.731102
-125.184433,48.796104
-125.184998,48.800827
-125.017227,48.920547
-124.908623,48.969154
-124.903061,48.971375
-124.847504,49.011665
-124.842773,49.015549
-124.835564,49.024162
-124.780838,49.131378
-124.779449,49.14444
-124.780838,49.150543
-124.796951,49.215828
-124.799728,49.226936
-124.804993,49.236938
-124.80777,49.240547
-124.815552,49.238045
-124.818893,49.234718
-124.824448,49.224159
-124.825012,49.217209
-124.823334,49.205551
-124.81723,49.183327
-124.816101,49.164711
-124.818069,49.146103
-124.826111,49.12249
-124.83139,49.112495
-124.878326,49.025269
-124.881943,49.020546
-124.89473,49.008888
-124.900558,49.004997
-124.906113,49.001938
-124.936943,48.988045
-124.949997,48.98333
-124.962784,48.981102
-125.069168,48.984436
-125.126938,48.991104
-125.198883,48.962769
-125.210007,48.955826
-125.21666,48.953323
-125.224167,48.95166
-125.231377,48.951103
-125.241943,48.95166
-125.318893,48.964439
-125.327217,48.966103
-125.45723,48.918053
-125.464722,48.916382
-125.483612,48.915825
-125.502228,48.91777
-125.507233,48.920273
-125.751106,49.055267
-125.768066,49.098602
-125.738052,49.105553
-125.693047,49.128601
-125.641678,49.163048
-125.637222,49.166939
-125.608887,49.198044
-125.605827,49.210274
-125.607498,49.215828
-125.611107,49.220268
-125.616386,49.219711
-125.664436,49.189987
-125.72084,49.157768
-125.746948,49.148605
-125.753342,49.147491
-125.756119,49.151657
-125.779449,49.241661
-125.796661,49.310272
-125.866096,49.274437
-125.952789,49.23027
-125.965012,49.225266
-125.970284,49.224709
-125.974442,49.224991
-125.981377,49.227211
-125.987503,49.23027
-126.020554,49.263054
-126.023331,49.268051
-126.022232,49.280823
-126.018623,49.285553
-126.013062,49.288887
-126.006668,49.29055
-125.980293,49.292496
-125.973618,49.294998
-125.969162,49.297493
-125.950287,49.311935
-125.945541,49.316666
-125.897507,49.410271
-125.895844,49.416382
-125.896957,49.428047
-125.899727,49.433601
-125.904716,49.435822
-125.909157,49.431938
-125.94722,49.395546
-125.962509,49.377487
-125.965012,49.373604
-125.965286,49.367493
-125.962219,49.355553
-125.962784,49.350273
-125.96611,49.345543
-125.99527,49.32444
-126.001953,49.321938
-126.009453,49.321663
-126.039169,49.330276
-126.046387,49.333328
-126.061111,49.344154
-126.065002,49.348328
-126.075562,49.386383
-126.073898,49.392494
-126.120003,49.42305
-126.225563,49.410271
-126.263901,49.389435
-126.36528,49.401657
-126.459167,49.401932
-126.46167,49.382767
-126.46611,49.380272
-126.526672,49.371933
-126.542221,49.374435
-126.547234,49.378044
-126.577789,49.407768
-126.579453,49.413322
-126.579178,49.419441
-126.569733,49.576385
-126.566101,49.584435
-126.470284,49.635551
-126.46167,49.636658
-126.404167,49.637772
-126.384171,49.636383
-126.367493,49.633049
-126.360283,49.630821
-126.341377,49.628876
-126.284729,49.634438
-126.223892,49.640549
-126.134171,49.649994
-126.094452,49.655548
-126.086937,49.657211
-126.087509,49.662209
-126.090286,49.666382
-126.094162,49.671104
-126.103058,49.679161
-126.110283,49.681381
-126.11972,49.681107
-126.209442,49.673882
-126.234444,49.669159
-126.246384,49.664711
-126.283073,49.654991
-126.29834,49.652214
-126.340843,49.648605
-126.431107,49.662491
-126.438316,49.664154
-126.585007,49.701103
-126.590286,49.704437
-126.63028,49.794998
-126.679718,49.878876
-126.804443,49.909157
-126.839172,49.88472
-126.845551,49.88221
-126.852219,49.879715
-126.876099,49.873322
-126.939438,49.86277
-126.994164,49.85527
-127.121117,49.852287
-127.132492,49.856941
-127.17749,49.888885
-127.185547,49.897491
-127.224442,49.940269
-127.241379,49.961937
-127.238892,49.967209
-127.234444,49.971375
-127.179993,50.021378
-127.18277,50.031662
-127.183609,50.051102
-127.176666,50.061104
-127.172234,50.064995
-127.13028,50.084717
-127.15834,50.096382
-127.270554,50.099159
-127.275009,50.05999
-127.277496,50.055267
-127.28389,50.052216
-127.330002,50.033882
-127.345001,50.030273
-127.380547,50.0261
-127.389999,50.028603
-127.423317,50.042221
-127.45195,50.069717
-127.469162,50.088043
-127.471939,50.092766
-127.54805,50.130272
-127.632767,50.12999
-127.780289,50.08416
-127.781387,50.08416
-127.783623,50.08416
-127.890556,50.106941
-127.895844,50.108887
-127.900833,50.112495
-127.906952,50.120827
-127.906662,50.127769
-127.903343,50.132492
-127.892227,50.13916
-127.879173,50.14444
-127.868057,50.1511
-127.837219,50.172493
-127.828339,50.18055
-127.788887,50.222214
-127.799156,50.317772
-127.804443,50.321381
-127.863892,50.336937
-127.871384,50.337769
-127.881104,50.337212
-127.895554,50.326385
-127.907784,50.319717
-127.921661,50.316666
-127.931381,50.316101
-127.948334,50.321938
-127.952499,50.324715
-127.978607,50.342491
-127.979446,50.347214
-127.926102,50.459991
-127.923889,50.462769
-127.917221,50.464157
-127.756668,50.486382
-127.708054,50.491661
-127.700287,50.492218
-127.584167,50.486938
-127.576683,50.484718
-127.571404,50.481934
-127.563316,50.474159
-127.532784,50.439987
-127.507507,50.409157
-127.49527,50.395828
-127.474442,50.38166
-127.461937,50.375824
-127.454453,50.373604
-127.446953,50.372765
-127.446663,50.379715
