X,Y
-128.053894,51.753609
-128.11972,51.741661
-128.131927,51.743881
-128.136139,51.746658
-128.254456,51.865829
-128.253082,51.872215
-128.222229,51.953323
-128.217499,51.962769
-128.177795,52.008331
-128.150848,52.035271
-128.145294,52.038605
-128.107758,52.051659
-128.060822,52.056381
-127.995827,52.062767
-127.983322,52.061935
-127.960281,52.05555
-127.954727,52.053322
-127.951218,52.046913
-127.951401,52.030548
-127.954727,51.981102
-128.007233,51.782494
-128.00946,51.778328
-128.013062,51.773605
-128.018616,51.770271
-128.035828,51.760826
-128.053894,51.753609
