X,Y
-127.924713,52.174164
-127.933609,52.17305
-128.036407,52.17749
-128.054169,52.18055
-128.079712,52.186378
-128.086395,52.188599
-128.092773,52.192215
-128.166962,52.244713
-128.170013,52.249718
-128.15863,52.256386
-128.069458,52.294716
-128.047791,52.300545
-128.040009,52.301659
-127.979446,52.296661
-127.972778,52.295273
-127.961937,52.289436
-127.958618,52.287498
-127.951111,52.279716
-127.909439,52.210274
-127.907501,52.204712
-127.906662,52.198601
-127.910553,52.186378
-127.91777,52.176941
-127.924713,52.174164
