X,Y
-127.724442,51.976936
-127.870827,51.94471
-127.879707,51.944992
-127.886124,51.947769
-127.891678,51.951385
-127.89473,51.9561
-127.899437,51.97332
-127.901108,51.985825
-127.900558,51.999435
-127.881104,52.07888
-127.873611,52.094994
-127.851387,52.14138
-127.828339,52.175827
-127.817497,52.191376
-127.797501,52.213882
-127.789169,52.221931
-127.753342,52.245827
-127.74527,52.247772
-127.699997,52.257217
-127.680832,52.258888
-127.659439,52.259163
-127.650558,52.260277
-127.586403,52.281105
-127.516663,52.304436
-127.51001,52.306938
-127.460564,52.345825
-127.456947,52.350548
-127.456123,52.362213
-127.456947,52.368324
-127.453339,52.373047
-127.41777,52.385269
-127.362778,52.403877
-127.263901,52.436653
-127.259453,52.435265
-127.234734,52.416939
-127.207779,52.344711
-127.210564,52.335266
-127.218887,52.325829
-127.232224,52.313049
-127.247498,52.301933
-127.270844,52.288605
-127.289169,52.279434
-127.303047,52.274162
-127.309998,52.27166
-127.325844,52.268051
-127.361938,52.264717
-127.425827,52.246101
-127.439713,52.240829
-127.445267,52.238327
-127.579727,52.177216
-127.584442,52.173325
-127.588058,52.16777
-127.596313,52.151794
-127.654167,52.123878
-127.686943,52.07444
-127.69194,52.063606
-127.701111,52.041107
-127.703888,52.028877
-127.699997,52.017769
-127.699158,52.011383
-127.699432,52.004715
-127.70195,51.998604
-127.708054,51.988327
-127.717499,51.98027
-127.724442,51.976936
