X,Y
-128.66861,52.266388
-128.675568,52.266388
-128.720551,52.306938
-128.724152,52.311378
-128.726379,52.316101
-128.748322,52.369156
-128.761963,52.418327
-128.762512,52.423325
-128.761963,52.429161
-128.759186,52.449432
-128.752808,52.467766
-128.747223,52.471657
-128.681396,52.482208
-128.674438,52.482208
-128.650299,52.474434
-128.636963,52.468597
-128.624146,52.461662
-128.619141,52.457771
-128.615814,52.453606
-128.616089,52.448601
-128.613312,52.364441
-128.614716,52.353325
-128.617767,52.329994
-128.619995,52.323883
-128.625549,52.311378
-128.629974,52.30555
-128.66861,52.266388
