X,Y
-128.430298,52.36805
-128.441681,52.36805
-128.456116,52.373047
-128.460266,52.377213
-128.466644,52.38694
-128.467773,52.393051
-128.437775,52.54361
-128.449738,52.620827
-128.450562,52.626938
-128.441681,52.746941
-128.439178,52.75222
-128.435822,52.756943
-128.390015,52.797493
-128.383331,52.797493
-128.373322,52.791107
-128.362762,52.740273
-128.358612,52.729156
-128.321381,52.63472
-128.275848,52.496101
-128.275024,52.48999
-128.286407,52.457771
-128.311401,52.423882
-128.365814,52.38221
-128.371643,52.378876
-128.386414,52.374992
-128.403351,52.371658
-128.430298,52.36805
