X,Y
-128.974426,52.453323
-128.982758,52.453049
-129.114716,52.556656
-129.210815,52.64888
-129.263336,52.710548
-129.270569,52.719154
-129.291962,52.761665
-129.292786,52.766937
-129.281403,52.817215
-129.277222,52.823051
-129.270844,52.826103
-129.262238,52.82666
-129.252228,52.825272
-129.23111,52.816101
-129.218323,52.809158
-129.104156,52.741104
-129.066101,52.714714
-128.94696,52.626381
-128.926941,52.610825
-128.92334,52.606659
-128.919739,52.602219
-128.91861,52.527489
-128.922516,52.515274
-128.936401,52.480545
-128.943604,52.469711
-128.949158,52.465546
-128.96167,52.459435
-128.974426,52.453323
