X,Y
-129.432495,53.151382
-129.352783,53.07222
-129.290009,52.993607
-129.287506,52.978043
-129.289459,52.971931
-129.295837,52.96888
-129.312225,52.966934
-129.341095,52.97332
-129.414185,53.010551
-129.419159,53.014442
-129.421387,53.019157
-129.424713,53.040276
-129.429169,53.049721
-129.475281,53.101936
-129.50528,53.126381
-129.511963,53.129715
-129.521942,53.131104
-129.537506,53.128326
-129.544739,53.128326
-129.547241,53.133049
-129.548065,53.149162
-129.546967,53.160271
-129.538605,53.171661
-129.521667,53.183601
-129.514465,53.185822
-129.498596,53.188599
-129.490265,53.188881
-129.47998,53.187767
-129.470551,53.185265
-129.462769,53.179993
-129.432495,53.151382
