X,Y
-131.762238,53.196655
-131.630554,53.08416
-131.595551,53.046104
-131.593048,53.041382
-131.594727,53.035271
-131.601654,53.033051
-131.61026,53.032211
-131.628876,53.032494
-131.63974,53.034439
-131.736664,53.053879
-131.755585,53.058601
-131.774445,53.068886
-131.783905,53.071381
-131.794739,53.073051
-131.813629,53.073608
-131.829712,53.071381
-131.943329,53.054993
-131.964722,53.046387
-131.911957,53.005272
-131.908356,53.011108
-131.899445,53.019714
-131.888062,53.026939
-131.87027,53.037498
-131.85611,53.042221
-131.847778,53.043053
-131.831116,53.043053
-131.811676,53.039719
-131.662781,53.007774
-131.644745,53.003883
-131.628601,52.998329
-131.61499,52.991661
-131.609711,52.988045
-131.598053,52.975266
-131.595825,52.964714
-131.597504,52.958603
-131.61554,52.920273
-131.662781,52.88221
-131.66806,52.878044
-131.680573,52.871658
-131.6875,52.869156
-131.704437,52.867767
-131.802216,52.864716
-131.808624,52.865829
-131.833618,52.884995
-131.849152,52.901932
-131.87027,52.922768
-131.884735,52.934433
-131.890015,52.938324
-131.898346,52.941101
-131.906677,52.940269
-131.938599,52.93499
-131.944733,52.931664
-131.982483,52.879715
-131.978607,52.875549
-131.968597,52.874435
-131.952789,52.875267
-131.945282,52.876938
-131.931396,52.88166
-131.856384,52.856102
-131.775574,52.71666
-131.767517,52.713882
-131.733612,52.698601
-131.726929,52.695541
-131.723053,52.691101
-131.683899,52.64222
-131.681396,52.637497
-131.659454,52.581665
-131.572784,52.529991
-131.565277,52.531662
-131.556671,52.532211
-131.545837,52.530273
-131.481934,52.507774
-131.467499,52.501389
-131.423615,52.460823
-131.42749,52.414993
-131.398499,52.377827
-131.39534,52.375492
-131.390167,52.37466
-131.367493,52.381828
-131.365494,52.384491
-131.365997,52.390987
-131.367157,52.39716
-131.357483,52.40332
-131.358337,52.414154
-131.353058,52.418327
-131.328339,52.431107
-131.313049,52.434158
-131.272522,52.438881
-131.255585,52.440269
-131.236389,52.439156
-131.232483,52.434715
-131.247498,52.365829
-131.250854,52.359161
-131.258362,52.347771
-131.263062,52.342766
-131.303116,52.3321
-131.319778,52.335106
-131.330597,52.332771
-131.332489,52.29361
-131.328339,52.284996
-131.324432,52.280823
-131.271393,52.277771
-131.259186,52.284164
-131.256134,52.290833
-131.248322,52.302216
-131.179718,52.317772
-131.171936,52.319443
-131.136414,52.311378
-131.095001,52.28611
-131.015015,52.225548
-131.007507,52.217209
-131.00528,52.206657
-131.011688,52.193604
-131.015564,52.187767
-131.024719,52.178047
-131.030304,52.173882
-131.036407,52.17083
-131.04306,52.168327
-131.115128,52.168289
-131.166107,52.125549
-131.180573,52.121658
-131.26474,52.119713
-131.298889,52.150269
-131.36026,52.189156
-131.366943,52.19249
-131.389465,52.205826
-131.411682,52.220543
-131.551117,52.333878
-131.573334,52.360825
-131.58194,52.37999
-131.582764,52.385269
-131.580566,52.390549
-131.577789,52.393608
-131.570831,52.396103
-131.548065,52.400543
-131.539734,52.4011
-131.529724,52.400269
-131.520294,52.397774
-131.561401,52.431664
-131.661682,52.478325
-131.679169,52.483604
-131.709442,52.491104
-131.762238,52.504997
-131.775299,52.511665
-131.892792,52.582771
-132.017517,52.67749
-132.08194,52.727486
-132.084717,52.732208
-132.060272,52.755272
-132.010284,52.775269
-132.002502,52.776939
-131.993042,52.774437
-131.973053,52.764717
-131.963898,52.75666
-131.944458,52.73555
-131.933624,52.728043
-131.926941,52.724709
-131.917511,52.722488
-131.917236,52.725822
-131.937225,52.763611
-131.939728,52.768326
-131.95166,52.781105
-131.962219,52.788605
-131.968872,52.791939
-132.03418,52.812767
-132.061676,52.813881
-132.058044,52.804161
-132.055573,52.79361
-132.102478,52.749435
-132.11026,52.748047
-132.12027,52.748878
-132.127472,52.750832
-132.214172,52.80471
-132.219452,52.808327
-132.228882,52.816383
-132.316406,52.902214
-132.344147,52.931664
-132.346954,52.936378
-132.343048,52.942215
-132.329712,52.945824
-132.313629,52.948044
-132.255585,52.954712
-132.24527,52.95388
-132.238037,52.951935
-132.167786,52.928047
-132.156403,52.958885
-132.112488,52.98777
-132.11026,52.99305
-132.112762,52.997772
-132.119446,53.001106
-132.256134,53.028877
-132.266968,53.030823
-132.295013,53.031105
-132.411957,53.031937
-132.479706,53.027214
-132.496094,53.032768
-132.507782,53.04055
-132.511963,53.044716
-132.552795,53.089714
-132.555573,53.094437
-132.563629,53.13916
-132.562225,53.145271
-132.556671,53.149437
-132.549164,53.1511
-132.539459,53.14888
-132.525848,53.14222
-132.501404,53.133881
-132.481659,53.130821
-132.451111,53.128044
-132.413635,53.127487
-132.378601,53.129433
-132.210815,53.141663
-132.070831,53.153877
-132.063904,53.15638
-132.05777,53.159714
-132.030579,53.179993
-132.007507,53.19471
-131.928345,53.230545
-131.921387,53.233047
-131.811127,53.253609
-131.801941,53.253326
-131.794464,53.251389
-131.790558,53.247215
-131.762238,53.196655
