X,Y
-128.689453,53.164436
-128.679443,53.163048
-128.670837,53.163605
-128.652222,53.162766
-128.641968,53.161377
-128.624695,53.155548
-128.60556,53.145271
-128.576111,53.10527
-128.531677,53.021103
-128.5289,53.011108
-128.520569,52.959435
-128.518341,52.943604
-128.517792,52.92749
-128.518341,52.911102
-128.52002,52.899719
-128.522797,52.888046
-128.570282,52.691376
-128.572235,52.685265
-128.575287,52.679993
-128.593597,52.659157
-128.585266,52.659431
-128.577484,52.65638
-128.585815,52.63221
-128.592224,52.613884
-128.597229,52.609161
-128.60498,52.607773
-128.748871,52.597214
-128.751678,52.60083
-128.748596,52.748604
-128.748047,52.754166
-128.744446,52.760826
-128.692505,52.856102
-128.653351,52.892769
-128.648346,52.897774
-128.644745,52.90416
-128.643341,52.915543
-128.641968,52.948601
-128.643341,52.958885
-128.646973,52.963326
-128.653351,52.96666
-128.663635,52.968048
-128.671387,52.96666
-128.676941,52.962769
-128.679993,52.957771
-128.751129,52.835823
-128.753906,52.830826
-128.762238,52.810822
-128.764465,52.80471
-128.780579,52.73999
-128.781403,52.734161
-128.779999,52.723877
-128.777802,52.71888
-128.771118,52.704712
-128.765564,52.695541
-128.7789,52.664154
-128.846375,52.65332
-128.88446,52.648048
-128.892517,52.64888
-129.0,52.697212
-129.032776,52.719711
-129.047791,52.731377
-129.080292,52.772491
-129.108612,52.812767
-129.110809,52.817497
-129.114441,52.821938
-129.118866,52.831383
-129.121918,52.852219
-129.121918,52.863052
-129.119995,52.869156
-129.110809,52.877487
-129.103607,52.879715
-129.095001,52.880272
-129.084442,52.878044
-129.076385,52.874992
-129.022247,52.905548
-128.951782,52.97366
-128.869995,53.021935
-128.85498,53.025269
-128.84082,53.029716
-128.836395,53.035553
-128.843597,53.044159
-128.895569,53.082771
-128.963898,53.121658
-128.970551,53.124992
-129.002228,53.13694
-129.011688,53.139717
-129.015839,53.133881
-129.015015,53.128876
-129.00473,53.109993
-128.993866,53.097214
-128.987488,53.095825
-128.98111,53.098877
-128.973877,53.101105
-128.964447,53.100548
-128.956665,53.097771
-128.912781,53.073051
-128.864441,53.038887
-128.862213,53.034164
-129.055847,52.909157
-129.069153,52.903877
-129.095001,52.902489
-129.105835,52.904709
-129.159454,52.919716
-129.165833,52.92305
-129.169464,52.92749
-129.175293,52.936378
-129.185547,52.955269
-129.187225,52.965546
-129.191956,53.007774
-129.191376,53.013329
-129.188049,53.024162
-129.166656,53.066101
-129.161682,53.071106
-129.154724,53.073326
-129.131653,53.078049
-129.118042,53.079163
-129.117493,53.073883
-129.118042,53.068329
-129.11499,53.064713
-129.108612,53.067772
-129.082489,53.089989
-129.075287,53.10305
-129.073334,53.109161
-129.070557,53.13166
-129.058899,53.231377
-129.060272,53.241661
-129.064728,53.251106
-129.07193,53.259995
-129.082214,53.267769
-129.089722,53.287216
-129.086121,53.29361
-129.079712,53.296661
-129.06665,53.300827
-129.04306,53.30471
-129.025848,53.30555
-129.018616,53.30555
-128.900848,53.290276
-128.891388,53.287773
-128.881378,53.279991
-128.877777,53.275826
-128.863892,53.263611
-128.843597,53.248047
-128.832214,53.240547
-128.775299,53.208885
-128.71167,53.173882
-128.705261,53.170547
-128.689453,53.164436
