X,Y
-128.942505,53.317497
-129.111389,53.315826
-129.122223,53.318054
-129.125824,53.322495
-129.138916,53.339989
-129.143341,53.349716
-129.144165,53.354996
-129.143066,53.366104
-129.140839,53.372215
-129.13446,53.383881
-129.082703,53.42926
-129.054062,53.453602
-129.058838,53.487965
-129.051941,53.504997
-129.047791,53.510551
-129.037781,53.520271
-129.021942,53.533882
-129.015289,53.536659
-128.99942,53.539436
-128.988586,53.537216
-128.984711,53.533051
-128.984161,53.527771
-128.985535,53.523048
-128.986115,53.513054
-128.986115,53.50222
-128.984436,53.491661
-128.975555,53.472763
-128.953613,53.446655
-128.941376,53.434158
-128.936127,53.430275
-128.903351,53.39138
-128.901123,53.386658
-128.900299,53.381378
-128.91806,53.331383
-128.922516,53.325829
-128.92807,53.321663
-128.942505,53.317497
