X,Y
-132.046534927071,56.8510046497778
-130.208700617132,58.872140672501
-119.446725432865,48.999435
-119.467773,48.999435
-119.867493,48.999435
-119.934158,48.999435
-120.034157,48.999435
-120.534729,48.999435
-121.084976,48.999718
-122.100563,49.0
-122.333893,49.0
-122.433609,49.0
-122.566673,49.0
-122.699997,49.0
-122.7603,48.999435
-122.813606,49.005272
-122.831123,49.008606
-122.862503,49.022217
-122.877777,49.032211
-122.879707,49.034439
-122.881104,49.038605
-122.877487,49.049438
-122.876099,49.051384
-122.872498,49.054436
-122.864166,49.061661
-122.858887,49.067497
-122.858047,49.072769
-122.859444,49.077217
-122.866386,49.081108
-122.874443,49.083603
-122.899986,49.087212
-122.918877,49.087212
-122.941673,49.082497
-123.021942,49.051659
-123.039169,49.042496
-123.046661,49.033333
-123.048607,49.027214
-123.04834,49.022491
-123.047783,49.018326
-123.039169,49.005272
-123.034317,48.999435
-123.09375,48.999435
-123.113327,49.036659
-123.138901,49.107216
-123.148354,49.10833
-123.205002,49.123604
-123.209732,49.127213
-123.247772,49.265274
-123.248894,49.273605
-123.247498,49.275551
-123.094498,49.283939
-123.009338,49.281944
-122.943329,49.284164
-122.923607,49.28833
-122.912514,49.293327
-122.879173,49.339157
-122.875,49.351387
-122.853882,49.429993
-122.852783,49.436104
-122.853333,49.438881
-122.86055,49.447487
-122.870827,49.457214
-122.876389,49.455551
-122.878326,49.449432
-122.876938,49.429993
-122.877213,49.414993
-122.881104,49.402771
-122.885834,49.391937
-122.901398,49.36055
-122.915558,49.342216
-122.931381,49.328049
-123.005386,49.31955
-123.03672,49.313217
-123.045219,49.31255
-123.063393,49.313217
-123.080231,49.315548
-123.236389,49.338882
-123.254181,49.38472
-123.256668,49.512772
-123.253342,49.523048
-123.247223,49.534996
-123.201622,49.615715
-123.155838,49.676102
-123.154167,49.679436
-123.152222,49.685547
-123.15361,49.690269
-123.159729,49.699158
-123.164719,49.702217
-123.16777,49.702217
-123.170273,49.701103
-123.241943,49.660545
-123.248047,49.648605
-123.248047,49.639717
-123.266777,49.617378
-123.265945,49.610382
-123.265106,49.60788
-123.264946,49.603714
-123.26577,49.598381
-123.26812,49.595551
-123.270958,49.593216
-123.279778,49.59005
-123.343338,49.561378
-123.381104,49.556656
-123.394447,49.551933
-123.430283,49.53833
-123.483063,49.516663
-123.492493,49.50972
-123.495003,49.506943
-123.496109,49.500275
-123.494164,49.468597
-123.491669,49.463608
-123.487778,49.460548
-123.477783,49.455269
-123.474167,49.450829
-123.473328,49.441101
-123.476097,49.421936
-123.476669,49.419159
-123.481949,49.409988
-123.486656,49.406097
-123.506958,49.389435
-123.512787,49.386383
-123.519447,49.383881
-123.526947,49.38221
-123.535553,49.381378
-123.544998,49.383331
-123.601097,49.397491
-123.60611,49.399994
-123.675552,49.42527
-123.775009,49.458328
-123.855003,49.46888
-123.861656,49.46666
-123.880829,49.466385
-123.888901,49.468048
-123.896118,49.470543
-123.959732,49.510551
-123.963623,49.513329
-123.988602,49.541664
-124.068069,49.633881
-124.070557,49.638046
-124.071121,49.64444
-124.070282,49.649719
-124.059158,49.671104
-124.032501,49.713882
-124.02861,49.719154
-124.021118,49.726379
-124.00528,49.735825
-123.998337,49.738884
-123.987213,49.74305
-123.975281,49.74527
-123.956947,49.746101
-123.947487,49.744995
-123.940552,49.742493
-123.934433,49.739433
-123.929718,49.735825
-123.876938,49.683327
-123.833069,49.627487
-123.829178,49.616936
-123.824448,49.595825
-123.822777,49.585548
-123.823334,49.581383
-123.822243,49.573051
-123.799728,49.51944
-123.794449,49.510277
-123.789719,49.50666
-123.782501,49.504166
-123.776398,49.503883
-123.76973,49.504715
-123.766403,49.50666
-123.763901,49.509438
-123.761398,49.513329
-123.753891,49.537773
-123.768623,49.561935
-123.771393,49.57222
-123.772232,49.58194
-123.770279,49.588043
-123.740173,49.6026
-123.737335,49.60527
-123.735176,49.606937
-123.695999,49.623604
-123.686836,49.625603
-123.672836,49.625271
-123.638901,49.634995
-123.615013,49.63916
-123.563316,49.667213
-123.546951,49.677216
-123.537514,49.68499
-123.533623,49.689713
-123.531677,49.695541
-123.532227,49.700546
-123.53389,49.701935
-123.541672,49.701103
-123.549988,49.693878
-123.560547,49.686935
-123.571953,49.680824
-123.585564,49.676102
-123.675781,49.653046
-123.690613,49.651051
-123.739784,49.645882
-123.750107,49.645214
-123.796661,49.638329
-123.803879,49.640831
-123.8125,49.647491
-123.934998,49.768326
-123.9375,49.772766
-123.935822,49.778046
-123.930557,49.785271
-123.919998,49.792496
-123.888901,49.819717
-123.88501,49.823608
-123.882492,49.827492
-123.879707,49.832771
-123.876389,49.842216
-123.873322,49.864159
-123.872498,49.871101
-123.872772,49.877213
-123.88501,49.914993
-123.889183,49.922768
-123.894173,49.927216
-123.901398,49.928879
-123.910828,49.930275
-123.920547,49.928604
-123.929993,49.929718
-123.93721,49.932213
-123.94194,49.936104
-123.948608,49.943878
-123.954727,49.953049
-123.958893,49.962212
-123.929779,49.985321
-123.929283,49.989494
-123.925446,49.994156
-123.920441,49.997326
-123.881607,50.014996
-123.873436,50.018326
-123.860771,50.02166
-123.852943,50.022995
-123.843102,50.023659
-123.808327,50.040276
-123.796112,50.044441
-123.753342,50.076385
-123.748611,50.080276
-123.744453,50.086937
-123.749443,50.096657
-123.821404,50.152214
-123.830566,50.156937
-123.846947,50.163322
-123.977783,50.213882
