X,Y
-123.332779,49.441101
-123.360283,49.433052
-123.375,49.433327
-123.442207,49.438599
-123.448036,49.441658
-123.459442,49.467209
-123.459732,49.470543
-123.453056,49.495544
-123.445267,49.515274
-123.436661,49.522217
-123.380829,49.53611
-123.370003,49.53611
-123.360817,49.534996
-123.355003,49.531937
-123.338333,49.506104
-123.33168,49.500832
-123.328056,49.496384
-123.323898,49.488602
-123.319458,49.474709
-123.31778,49.464157
-123.319458,49.451935
-123.322243,49.448044
-123.32695,49.444153
-123.332779,49.441101
