X,Y
-129.086395,53.446098
-129.157501,53.392769
-129.167786,53.59388
-129.165833,53.610825
-129.163055,53.62249
-129.160828,53.628601
-129.153076,53.638603
-129.147247,53.642494
-129.140839,53.645546
-129.05249,53.681107
-129.038605,53.686378
-129.008057,53.693321
-128.983307,53.696655
-128.875549,53.709435
-128.832764,53.712494
-128.823883,53.713051
-128.818878,53.70916
-128.821106,53.703049
-128.823608,53.700546
-128.872223,53.661102
-128.979706,53.583878
-128.986389,53.580826
-128.992218,53.576942
-129.075562,53.514717
-129.085541,53.504997
-129.089996,53.499435
-129.093597,53.492767
-129.094147,53.487213
-129.093323,53.481934
-129.088898,53.472488
-129.085266,53.468048
-129.083069,53.463326
-129.082214,53.458328
-129.082764,53.452492
-129.086395,53.446098
