X,Y
-130.14975,53.989159
-130.16806,53.988884
-130.179169,53.990829
-130.194153,53.997215
-130.203064,54.005272
-130.214996,54.02916
-130.216949,54.039436
-130.2164,54.044998
-130.213043,54.051659
-130.202789,54.06916
-130.193604,54.07972
-130.186401,54.08194
-130.178345,54.083328
-130.16861,54.083054
-130.15918,54.080551
-130.155579,54.075554
-130.148895,54.07222
-130.143616,54.068329
-130.13974,54.064156
-130.132477,54.049995
-130.122498,54.024994
-130.121368,54.019989
-130.122498,54.008606
-130.12442,54.002495
-130.135284,53.993607
-130.14975,53.989159
