X,Y
-132.808044,54.12027
-132.78891,54.119987
-132.779999,54.120827
-132.757233,54.126381
-132.735809,54.133881
-132.703064,54.13916
-132.658356,54.14222
-132.648071,54.14138
-132.639465,54.138603
-132.575287,54.115547
-132.569733,54.111938
-132.55777,54.088043
-132.558899,54.048332
-132.560547,54.042221
-132.56665,54.02916
-132.575836,54.019157
-132.58139,54.014999
-132.593872,54.008606
-132.625549,54.00222
-132.632751,53.999718
-132.664185,53.98333
-132.679993,53.958885
-132.681671,53.952774
-132.680298,53.947769
-132.658905,53.93943
-132.572235,53.976654
-132.555847,53.989159
-132.550293,53.993881
-132.547791,53.999161
-132.548889,54.004166
-132.55307,54.008331
-132.54834,54.026939
-132.545288,54.033607
-132.540558,54.03833
-132.416656,54.0961
-132.409729,54.098602
-132.401672,54.099998
-132.301117,54.111664
-132.290558,54.11055
-132.285828,54.107773
-132.252808,54.085266
-132.228333,54.065826
-132.150299,53.992767
-132.142517,53.9786
-132.111115,53.878326
-132.117218,53.864998
-132.125,53.853325
-132.13446,53.843605
-132.225006,53.780273
-132.23111,53.776939
-132.24527,53.772217
-132.474426,53.707497
-132.505005,53.700272
-132.520844,53.697212
-132.538055,53.695824
-132.55722,53.695824
-132.568329,53.697769
-132.588898,53.699715
-132.606934,53.698875
-132.62442,53.697487
-132.647247,53.691933
-132.658905,53.684433
-132.66333,53.679436
-132.665009,53.673325
-132.463623,53.61277
-132.41806,53.606102
-132.321381,53.663605
-132.315277,53.666939
-132.308044,53.669159
-132.299438,53.669991
-132.290009,53.669716
-132.2789,53.668053
-132.245544,53.662491
-132.156403,53.716385
-132.152496,53.812492
-132.084503,53.872738
-132.106201,53.917881
-132.126373,53.979431
-132.07251,54.022766
-132.015015,54.021935
-131.988037,54.023048
-131.9711,54.025269
-131.875,54.052773
-131.860535,54.057495
-131.81778,54.071938
-131.75473,54.094994
-131.727783,54.106102
-131.714996,54.112495
-131.703613,54.120544
-131.671936,54.14666
-131.663055,54.152214
-131.660004,54.131104
-131.666656,54.079437
-131.672791,54.044159
-131.679718,54.019714
-131.704987,53.966934
-131.720825,53.943878
-131.738892,53.923325
-131.786407,53.874435
-131.796661,53.865273
-131.829712,53.841103
-131.853333,53.816383
-131.868866,53.793327
-131.872223,53.786942
-131.933319,53.615273
-131.934998,53.609161
-131.940002,53.519714
-131.939178,53.508888
-131.917786,53.399162
-131.90863,53.357498
-131.959167,53.276382
-131.968323,53.266388
-131.982208,53.251663
-131.988586,53.248604
-132.005859,53.247215
-132.036407,53.25
-132.056122,53.253326
-132.083313,53.253052
-132.171387,53.238327
-132.195007,53.233879
-132.210541,53.230545
-132.217499,53.228325
-132.272797,53.210274
-132.270294,53.205551
-132.266113,53.201385
-132.255585,53.193878
-132.237762,53.188881
-132.22998,53.190544
-132.21582,53.195267
-132.203613,53.20166
-132.194153,53.20166
-132.14502,53.198326
-132.133911,53.196655
-132.12442,53.194153
-132.121918,53.18943
-132.158905,53.169991
-132.186951,53.160545
-132.194733,53.158882
-132.390289,53.142769
-132.408356,53.14222
-132.446655,53.143608
-132.457489,53.145271
-132.506958,53.161102
-132.536682,53.178879
-132.565277,53.212769
-132.576385,53.232208
-132.585815,53.240273
-132.596649,53.24749
-132.614716,53.252777
-132.645294,53.255554
-132.664734,53.256386
-132.683624,53.25666
-132.675842,53.281662
-132.619446,53.30027
-132.552216,53.308044
-132.544464,53.309433
-132.539734,53.314438
-132.536957,53.321106
-132.539185,53.326385
-132.543335,53.330551
-132.549988,53.333878
-132.55835,53.336655
-132.568604,53.337494
-132.670013,53.326942
-132.720001,53.320831
-132.733887,53.337212
-132.709991,53.37027
-132.704437,53.374435
-132.69751,53.376938
-132.520767,53.34016
-132.517441,53.33799
-132.416412,53.297218
-132.410553,53.294716
-132.406677,53.300545
-132.403625,53.307213
-132.400574,53.319443
-132.400299,53.330826
-132.402802,53.335548
-132.406677,53.339714
-132.412231,53.343605
-132.520844,53.412209
-132.541382,53.416382
-132.735809,53.453323
-132.857758,53.461105
-132.867493,53.463608
-132.872772,53.467209
-132.972504,53.555824
-132.991669,53.583054
-132.994141,53.587769
-132.988892,53.591934
-132.961395,53.600273
-132.953613,53.601936
-132.944153,53.601936
-132.934448,53.599716
-132.91806,53.5886
-132.909729,53.585823
-132.898621,53.58416
-132.890839,53.585548
-132.88446,53.588882
-132.880829,53.594711
-132.880554,53.600273
-132.881927,53.605553
-132.886139,53.609718
-132.920288,53.637215
-132.935272,53.648605
-132.950562,53.654709
-133.007782,53.676384
-132.953613,53.68277
-132.954437,53.702774
-132.984436,53.742767
-133.024719,53.751389
-133.03363,53.752777
-133.093872,53.775551
-133.10083,53.778603
-133.106384,53.782494
-133.109161,53.786942
-133.137512,53.874992
-133.138916,53.880272
-133.140015,53.908043
-133.138336,53.914154
-133.133911,53.919159
-133.116394,53.934158
-133.095276,53.949432
-133.09082,53.954163
-133.041107,54.031662
-133.039734,54.037773
-133.040833,54.043053
-133.058624,54.076103
-133.079163,54.097771
-133.08194,54.102493
-133.071655,54.168884
-133.06723,54.173882
-133.040833,54.176102
-133.031128,54.176102
-132.940277,54.161377
-132.930298,54.159157
-132.920013,54.152489
-132.903351,54.135826
-132.827484,54.12249
-132.808044,54.12027
