X,Y
-130.195557,54.11805
-130.21167,54.115273
-130.2211,54.115547
-130.232208,54.117493
-130.245819,54.124161
-130.251129,54.128044
-130.255005,54.13221
-130.261414,54.14138
-130.263641,54.146103
-130.26474,54.151382
-130.263062,54.168327
-130.261139,54.174164
-130.257782,54.180824
-130.252808,54.185547
-130.239716,54.189713
-130.230835,54.190269
-130.209442,54.18721
-130.209991,54.183601
-130.20166,54.183052
-130.19223,54.18055
-130.178619,54.173607
-130.161133,54.162766
-130.155853,54.158882
-130.151947,54.154434
-130.151123,54.149437
-130.153076,54.143326
-130.158051,54.138329
-130.169464,54.130547
-130.195557,54.11805
