X,Y
-124.446114,49.72332
-124.4375,49.723045
-124.428879,49.723877
-124.410004,49.723045
-124.381378,49.713326
-124.351387,49.698044
-124.332779,49.683327
-124.134743,49.525269
-124.132217,49.520271
-124.124161,49.499161
-124.122772,49.493607
-124.127487,49.489716
-124.134171,49.487495
-124.141678,49.485825
-124.14917,49.486107
-124.155273,49.488602
-124.281387,49.546661
-124.405838,49.605827
-124.438049,49.628876
-124.442207,49.638046
-124.476669,49.671936
-124.539665,49.692768
-124.552498,49.697105
-124.561676,49.699936
-124.614166,49.713608
-124.627213,49.719154
-124.654167,49.736107
-124.660828,49.742767
-124.656662,49.796944
-124.651108,49.799995
-124.619453,49.797218
-124.604446,49.789436
-124.599442,49.784439
-124.590286,49.77166
-124.56234,49.753326
-124.559334,49.751495
-124.49472,49.73333
-124.446114,49.72332
