X,Y
-125.16777,49.98082
-125.169998,49.98082
-125.171112,49.981659
-125.185822,50.004166
-125.20723,50.044998
-125.214172,50.069992
-125.281677,50.113327
-125.31778,50.136108
-125.323624,50.143326
-125.339996,50.203049
-125.349167,50.242493
-125.349731,50.257774
-125.348343,50.261665
-125.345543,50.263901
-125.339996,50.268883
-125.310822,50.28138
-125.263344,50.293884
-125.25473,50.29361
-125.246384,50.29055
-125.243332,50.28833
-125.167221,50.213608
-125.161118,50.200272
-125.160004,50.190544
-125.186661,50.141663
-125.15361,50.006104
-125.154167,50.000832
-125.164169,49.985268
-125.16777,49.98082
