X,Y
-125.165558,50.374435
-125.061394,50.240547
-125.051941,50.226654
-125.050278,50.221657
-125.048607,50.207771
-125.049156,50.193321
-125.051666,50.190826
-125.116386,50.136658
-125.129173,50.126099
-125.133904,50.122765
-125.140289,50.121658
-125.14473,50.121933
-125.150833,50.124992
-125.154167,50.133331
-125.139717,50.159431
-125.156113,50.239159
-125.210831,50.313049
-125.213623,50.316666
-125.220001,50.318329
-125.263634,50.323608
-125.271942,50.323883
-125.315552,50.318054
-125.321121,50.31694
-125.32695,50.313881
-125.333069,50.304436
-125.334732,50.299721
-125.339447,50.29583
-125.35611,50.290276
-125.372223,50.289436
-125.385277,50.289993
-125.390289,50.292221
-125.393066,50.29583
-125.39917,50.311104
-125.400284,50.320831
-125.399437,50.331108
-125.398064,50.333878
-125.391953,50.340546
-125.291946,50.433876
-125.284439,50.435822
-125.275009,50.433327
-125.273064,50.431107
-125.236656,50.415825
-125.2164,50.404709
-125.165558,50.374435
