X,Y
-126.873322,50.663322
-126.834167,50.634163
-126.831123,50.629158
-126.835831,50.625267
-126.902496,50.613884
-126.912514,50.613609
-127.016663,50.638329
-127.025284,50.639992
-127.04277,50.637497
-127.058327,50.632492
-127.101936,50.627487
-127.122498,50.627213
-127.132217,50.628326
-127.140556,50.629715
-127.14473,50.633881
-127.143341,50.638885
-127.131668,50.652214
-127.127213,50.656097
-127.109161,50.665268
-127.093887,50.669159
-127.086403,50.669716
-126.890289,50.667213
-126.879707,50.6661
-126.873322,50.663322
