X,Y
-128.211945,52.015549
-128.220825,52.014442
-128.238586,52.014717
-128.246368,52.016663
-128.253082,52.019714
-128.291107,52.101936
-128.294159,52.113609
-128.291687,52.118881
-128.252808,52.171379
-128.244446,52.179993
-128.239716,52.184158
-128.231934,52.187492
-128.188049,52.193604
-128.162231,52.196655
-128.153076,52.195267
-128.147797,52.191658
-128.145844,52.186104
-128.148071,52.183327
-128.154724,52.159431
-128.156128,52.15332
-128.15863,52.119713
-128.154449,52.108604
-128.151398,52.103882
-128.147522,52.092766
-128.151123,52.081108
-128.206116,52.018883
-128.211945,52.015549
