X,Y
-126.131943,49.393326
-126.126938,49.390274
-126.12471,49.390274
-126.120537,49.388603
-126.11055,49.38221
-126.106659,49.378601
-126.096123,49.368599
-126.086403,49.358604
-126.072777,49.343048
-126.049728,49.265549
-126.051102,49.260551
-126.055832,49.256104
-126.064713,49.250832
-126.071121,49.248329
-126.079727,49.246658
-126.089172,49.246101
-126.09639,49.247215
-126.186661,49.263329
-126.191673,49.265549
-126.223328,49.279716
-126.229446,49.282494
-126.239166,49.289719
-126.234734,49.374161
-126.229172,49.378601
-126.22139,49.380547
-126.141388,49.394157
-126.131943,49.393326
