X,Y
-128.471924,52.492767
-128.467773,52.483047
-128.464996,52.473045
-128.464172,52.468048
-128.464996,52.462212
-128.467224,52.4561
-128.470825,52.449715
-128.48056,52.440269
-128.486938,52.43721
-128.494141,52.43499
-128.50946,52.432213
-128.518066,52.431938
-128.595535,52.46014
-128.663147,52.491928
-128.755005,52.48777
-128.775574,52.493324
-128.784729,52.496101
-128.809448,52.515549
-128.813049,52.519989
-128.813904,52.524994
-128.811127,52.536942
-128.808899,52.543053
-128.738892,52.587494
-128.732483,52.590546
-128.724701,52.59166
-128.578186,52.593643
-128.567505,52.62249
-128.535278,52.647217
-128.531677,52.621101
-128.5289,52.611107
-128.521942,52.591377
-128.500854,52.54361
-128.488892,52.520271
-128.48526,52.515831
-128.479706,52.50666
-128.471924,52.492767
