X,Y
-128.269745,52.596939
-128.27417,52.595543
-128.2789,52.595825
-128.284454,52.598602
-128.287506,52.602776
-128.289734,52.60833
-128.292694,52.661549
-128.323059,52.741104
-128.326385,52.771378
-128.325012,52.7761
-128.263229,52.784645
-128.210632,52.798515
-128.185822,52.826942
-128.177795,52.826103
-128.17334,52.823326
-128.170288,52.817772
-128.175842,52.787773
-128.178619,52.7761
-128.207764,52.704437
-128.210266,52.698875
-128.247223,52.620544
-128.249725,52.616661
-128.261414,52.604439
-128.269745,52.596939
