X,Y
-129.602478,53.057213
-129.610809,53.056656
-129.692505,53.075829
-129.701935,53.078331
-129.708344,53.081665
-129.723053,53.099159
-129.736115,53.122215
-129.738312,53.127213
-129.732758,53.131104
-129.716949,53.133881
-129.699738,53.134995
-129.66806,53.136108
-129.662506,53.135551
-129.654449,53.132767
-129.650848,53.130547
-129.644165,53.127213
-129.620819,53.112495
-129.615814,53.108604
-129.588043,53.084717
-129.584167,53.080276
-129.58194,53.075554
-129.586121,53.069992
-129.596649,53.061104
-129.602478,53.057213
