X,Y
-124.179169,49.441101
-124.185547,49.439987
-124.313606,49.4561
-124.326683,49.460823
-124.360001,49.474434
-124.366096,49.477486
-124.370827,49.481102
-124.371658,49.483047
-124.380547,49.506943
-124.381104,49.51194
-124.378326,49.515831
-124.371658,49.518326
-124.361107,49.519157
-124.355003,49.517494
-124.348892,49.514442
-124.304718,49.512215
-124.24472,49.501389
-124.237503,49.498329
-124.22139,49.491379
-124.1875,49.474434
-124.181671,49.471375
-124.173889,49.456383
-124.171944,49.446655
-124.172234,49.444153
-124.179169,49.441101
