X,Y
-129.153076,53.098328
-129.161682,53.097771
-129.25946,53.098045
-129.289459,53.101936
-129.311401,53.116936
-129.32666,53.128601
-129.332489,53.137497
-129.334717,53.142494
-129.336395,53.152771
-129.338898,53.179161
-129.338318,53.18499
-129.336395,53.191101
-129.325287,53.216103
-129.273895,53.328049
-129.268066,53.33194
-129.260284,53.333328
-129.250854,53.333054
-129.229156,53.32888
-129.226929,53.326103
-129.208893,53.321938
-129.194153,53.315544
-129.181122,53.308601
-129.176117,53.30471
-129.16861,53.296104
-129.145294,53.221657
-129.132477,53.118599
-129.131927,53.113609
-129.133911,53.107498
-129.138916,53.102493
-129.153076,53.098328
